0,1
18,67
4,105
2,94
2,82
5,81
13,21
1,24
2,41
2,26
4,94
17,113
10,15
7,86
26,118
2,69
9,6
18,25
1,134
7,30
4,96
26,48
14,36
13,7
9,40
4,87
4,118
26,62
18,15
7,49
9,32
17,107
10,33
17,137
9,44
5,1
2,2
14,80
1,192
7,59
10,5
18,19
2,67
17,50
2,80
18,26
7,92
18,6
1,183
26,86
3,21
7,61
17,119
3,49
17,56
14,57
2,66
18,30
4,97
1,131
5,50
4,109
4,127
13,3
2,57
6,16
22,13
2,105
17,45
6,43
9,84
1,78
1,20
7,95
2,7
26,5
1,164
5,23
5,84
4,40
1,87
13,29
1,50
14,51
3,19
17,141
14,79
17,27
7,33
1,91
14,61
10,42
14,8
26,29
17,158
7,23
2,102
9,62
9,19
26,87
7,93
9,22
1,59
17,139
17,125
5,16
4,52
17,98
14,41
18,31
4,4
18,2
3,35
17,86
2,24
17,130
4,51
17,159
9,21
4,75
9,1
17,47
1,52
1,176
7,50
3,38
17,99
2,14
14,76
6,21
1,142
26,21
17,13
3,73
22,44
26,36
26,109
22,30
17,1
9,56
14,39
17,31
9,24
5,47
2,79
1,155
22,6
22,8
4,8
26,99
17,151
1,177
3,4
17,143
7,70
3,70
1,133
4,99
5,60
6,7
3,59
1,101
1,186
22,3
17,58
5,29
3,22
6,44
4,57
18,48
9,35
26,78
9,79
14,25
22,35
13,22
9,41
7,38
14,73
9,33
5,6
6,50
5,78
14,14
1,110
2,59
7,64
5,15
4,101
5,74
4,114
17,128
26,100
1,12
5,40
4,82
18,18
5,57
17,52
1,6
2,85
26,54
4,125
4,68
22,28
1,140
2,97
1,93
7,94
7,91
5,24
13,19
14,83
17,165
1,58
18,14
26,11
5,65
26,61
9,7
4,91
10,38
17,18
1,187
2,51
18,55
5,69
14,32
17,163
7,79
17,28
1,83
26,114
26,13
18,53
17,162
9,69
1,36
2,88
4,12
2,27
7,8
7,98
7,55
3,57
14,18
13,18
22,10
26,22
3,52
17,101
4,72
2,91
5,11
18,46
2,98
17,26
1,160
22,19
17,38
5,67
1,14
1,56
26,60
17,40
3,39
3,6
5,88
13,5
1,122
17,64
7,11
14,10
18,33
4,43
9,38
1,92
7,25
17,15
26,40
1,13
22,25
26,67
5,90
6,51
10,23
1,72
5,86
26,19
26,108
7,68
4,89
5,76
18,45
17,90
10,3
4,1
4,38
14,19
2,89
6,23
26,30
5,72
17,60
3,23
26,96
1,63
4,104
6,13
4,103
5,39
4,48
26,42
9,29
10,30
7,82
4,90
9,81
18,41
18,51
7,7
5,22
1,141
7,62
4,28
7,87
17,114
14,56
2,36
14,58
7,4
2,87
18,62
17,65
5,53
22,32
26,124
9,50
22,38
5,51
1,67
9,78
6,19
9,65
14,12
10,4
2,11
6,12
4,116
9,51
9,8
3,61
1,111
17,6
14,5
1,51
14,72
5,54
18,60
1,61
2,35
3,68
2,62
18,5
1,25
17,96
17,84
9,31
17,148
1,38
2,92
1,158
10,41
1,124
3,66
1,178
2,56
9,60
14,77
10,1
10,22
17,9
4,67
4,112
3,46
17,102
13,26
1,98
1,179
17,51
14,31
6,8
7,35
1,99
7,19
17,157
1,15
14,87
17,136
2,43
2,84
18,22
1,165
10,10
10,44
1,53
4,41
17,55
17,147
4,64
4,115
9,83
17,82
3,13
18,10
5,80
2,29
4,31
1,33
1,73
5,21
17,95
1,150
18,29
1,181
5,27
26,7
6,11
7,27
1,138
1,174
1,112
17,29
26,106
17,91
2,60
5,18
2,107
17,39
26,38
2,90
9,10
13,6
7,63
7,90
7,78
9,37
2,44
2,20
1,182
4,78
4,23
17,161
4,13
14,50
5,43
7,97
17,135
3,15
14,24
9,34
5,12
6,33
18,61
3,28
17,11
26,98
13,11
14,30
4,74
17,23
18,58
1,121
1,18
2,8
4,92
14,66
17,164
6,56
6,1
14,69
1,102
6,5
1,114
17,140
5,45
2,61
7,20
2,28
10,17
5,26
6,41
2,37
9,30
18,24
1,108
1,68
18,37
14,23
26,32
5,49
10,31
2,39
1,77
17,75
3,53
17,62
9,86
5,68
1,171
7,12
2,6
14,82
14,21
17,44
7,54
14,46
2,104
18,63
2,42
5,61
6,9
18,44
18,59
1,43
22,29
26,18
4,33
26,17
1,70
7,88
4,29
6,18
6,35
1,27
2,30
1,54
26,120
26,116
14,33
26,69
17,155
5,4
17,138
18,42
4,129
17,46
7,28
22,45
7,57
18,28
14,22
1,144
4,108
4,39
17,145
13,20
7,77
14,17
26,31
7,9
17,53
14,47
26,112
17,30
6,14
4,49
9,16
5,44
2,25
6,37
1,139
9,36
2,99
26,46
17,25
1,71
10,37
26,55
17,133
1,123
6,38
9,55
14,2
17,37
14,48
10,14
1,89
26,121
2,100
3,64
7,99
1,106
7,10
17,54
5,38
4,36
2,72
13,13
14,34
18,32
1,125
1,23
26,110
17,3
5,56
17,66
5,9
1,96
9,87
4,63
9,11
5,58
3,10
1,119
7,15
26,59
7,76
9,72
14,29
1,2
14,49
6,58
4,123
1,90
4,102
7,13
7,18
5,35
14,67
9,71
22,17
17,57
4,71
26,9
6,53
22,34
18,16
1,159
6,30
5,71
1,116
17,106
1,113
1,191
